date,WCE,world
1850-01,-5.083,2.869
1850-02,-1.111,2.576
1850-03,1.954,5.318
1850-04,5.729,8.002
1850-05,10.013,10.436
1850-06,17.002,12.811
1850-07,19.609,13.806
1850-08,16.596,13.367
1850-09,8.498,11.2
1850-10,7.196,9.285
1850-11,-0.361,6.224
1850-12,-8.659,3.399
1851-01,-5.287,1.898
1851-02,-9.774,2.423
1851-03,-2.397,4.697
1851-04,5.399,8.042
1851-05,11.701,10.829
1851-06,17.639,12.765
1851-07,18.538,13.659
1851-08,16.726,13.321
1851-09,12.298,11.657
1851-10,7.483,9.32
1851-11,0.941,6.643
1851-12,-2.13,4.002
1852-01,-0.709,3.153
1852-02,-1.831,3.831
1852-03,1.79,5.146
1852-04,5.892,7.555
1852-05,9.996,10.42
1852-06,15.661,12.975
1852-07,18.592,13.983
1852-08,16.617,13.179
1852-09,11.125,11.549
1852-10,6.954,9.266
1852-11,0.574,6.385
1852-12,-0.226,3.695
1853-01,-4.508,3.125
1853-02,-4.082,2.864
1853-03,-1.418,5.104
1853-04,6.116,7.783
1853-05,9.459,10.586
1853-06,14.153,12.399
1853-07,17.154,14.225
1853-08,13.612,13.192
1853-09,11.822,11.023
1853-10,6.7,9.228
1853-11,-0.692,5.985
1853-12,-6.088,3.533
1854-01,-4.043,2.418
1854-02,0.04,3.814
1854-03,2.113,5.151
1854-04,7.905,7.928
1854-05,13.123,10.539
1854-06,17.719,12.947
1854-07,20.587,14.161
1854-08,16.103,13.647
1854-09,12.016,11.611
1854-10,7.529,9.399
1854-11,1.62,6.373
1854-12,-6.103,4.227
1855-01,-4.352,2.779
1855-02,-3.362,2.764
1855-03,-1.05,4.568
1855-04,3.817,7.606
1855-05,8.379,10.431
1855-06,16.434,12.297
1855-07,17.16,13.828
1855-08,15.241,13.234
1855-09,13.516,11.314
1855-10,6.945,8.865
1855-11,2.679,6.193
1855-12,-3.6,3.561
1856-01,-8.222,1.919
1856-02,-6.625,2.218
1856-03,0.675,4.893
1856-04,3.105,7.785
1856-05,11.366,10.141
1856-06,15.426,12.476
1856-07,16.322,13.821
1856-08,15.367,13.218
1856-09,12.494,11.531
1856-10,8.343,9.196
1856-11,1.22,6.271
1856-12,-1.488,3.422
1857-01,-7.308,2.54
1857-02,-5.166,2.871
1857-03,0.599,5.085
1857-04,2.292,7.678
1857-05,11.063,10.285
1857-06,17.259,12.861
1857-07,17.614,13.705
1857-08,15.241,13.184
1857-09,12.633,11.452
1857-10,4.315,9.059
1857-11,0.248,5.847
1857-12,-2.501,3.996
1858-01,-0.859,3.291
1858-02,-3.469,3.086
1858-03,-1.152,5.027
